Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1190	-1245.161	-1227.276	-17.88516	3.162797	0.401477	0.740161	1.08321	1.77515	4.375084
1200	-1252.674	-1232	-20.67351	3.027802	0.391401	0.733056	1.08265	1.79289	4.653919
1210	-1254.475	-1231.289	-23.18547	4.982562	0.501352	0.803541	1.08333	1.61177	4.905115
1220	-1245.609	-1224.334	-21.27454	4.952986	0.500113	0.802825	1.08338	1.61368	4.714022
1230	-1250.031	-1232.858	-17.17218	9.463184	0.62226	0.866586	1.07344	1.43771	4.303785
1240	-1251.976	-1230.543	-21.43374	3.429593	0.419988	0.752844	1.08395	1.74322	4.729942
1250	-1259.402	-1230.141	-29.2617	2.802295	0.373364	0.719959	1.08135	1.82533	5.512738
1260	-1253.632	-1233.53	-20.10137	2.622132	0.357738	0.708199	1.07989	1.85417	4.596704
1270	-1249.699	-1231.587	-18.11174	10.92216	0.645811	0.877458	1.07053	1.4062	4.397742
1280	-1256.638	-1230.554	-26.08327	3.689688	0.436458	0.763745	1.08431	1.71549	5.194894
1290	-1260.492	-1240.787	-19.70448	13.10758	0.673967	0.889926	1.06669	1.36942	4.557016
1300	-1252.933	-1234.547	-18.38628	3.560148	0.428436	0.758479	1.08417	1.72892	4.425195
1310	-1250.957	-1225.293	-25.66448	3.514944	0.425553	0.756567	1.0841	1.73378	5.153016
1320	-1254.347	-1232.811	-21.53614	3.793811	0.442664	0.767763	1.08437	1.7052	4.740182
1330	-1245.635	-1222.426	-23.20974	3.484044	0.423557	0.755236	1.08405	1.73716	4.907541
1340	-1249.707	-1227.327	-22.38026	2.620495	0.357591	0.708086	1.07987	1.85445	4.824594
1350	-1254.564	-1230.887	-23.67668	2.047048	0.298827	0.659925	1.07112	1.97012	4.954236
1360	-1259.162	-1236.603	-22.55987	4.158681	0.462872	0.780524	1.08434	1.67226	4.842554
1370	-1245.233	-1221.924	-23.30822	3.493116	0.424145	0.755629	1.08406	1.73616	4.91739
1380	-1249.975	-1232.12	-17.85552	8.372325	0.601138	0.856474	1.0758	1.46658	4.372119
1390	-1245.799	-1225.911	-19.88797	11.08004	0.648099	0.878492	1.07023	1.40318	4.575364
1400	-1256.615	-1231.967	-24.64786	3.554023	0.428048	0.758222	1.08416	1.72957	5.051354
1410	-1256.535	-1235.721	-20.81411	2.631755	0.358603	0.70886	1.07998	1.85256	4.667979
1420	-1250.835	-1232.142	-18.69293	3.349662	0.414625	0.749218	1.08377	1.75239	4.455861
